Datum,Cislo1,Cislo2,Cislo3,Cislo4,Cislo5
9.10.2015,26,23,14,31,13
16.10.2015,38,11,19,42,46
23.10.2015,16,36,34,49,18
30.10.2015,5,15,16,37,36
6.11.2015,22,24,4,2,8
13.11.2015,23,49,27,19,26
20.11.2015,1,36,31,18,20
27.11.2015,2,26,49,13,7
4.12.2015,16,34,14,26,38
11.12.2015,36,37,49,39,34
18.12.2015,11,27,19,32,42
25.12.2015,8,36,33,34,9
1.1.2016,14,35,45,11,44
8.1.2016,47,1,2,24,5
15.1.2016,23,25,4,39,37
22.1.2016,19,3,26,36,29
29.1.2016,42,40,3,32,20
5.2.2016,37,25,35,43,10
12.2.2016,33,21,7,41,20
19.2.2016,49,12,29,10,28
26.2.2016,19,45,11,42,9
4.3.2016,13,2,10,5,28
11.3.2016,10,31,16,40,37
18.3.2016,20,10,50,35,47
25.3.2016,35,9,19,20,10
1.4.2016,40,49,6,21,12
8.4.2016,16,1,2,31,50
15.4.2016,39,46,1,17,5
22.4.2016,31,5,33,49,28
29.4.2016,24,10,40,14,20
6.5.2016,45,24,46,12,38
13.5.2016,39,7,6,36,40
20.5.2016,6,23,19,33,34
27.5.2016,4,48,33,10,26
3.6.2016,13,32,20,47,34
10.6.2016,12,26,28,37,11
17.6.2016,44,16,23,18,19
24.6.2016,24,19,48,21,41
1.7.2016,50,47,37,29,38
8.7.2016,31,21,4,42,19
15.7.2016,12,38,36,50,22
22.7.2016,14,26,20,6,46
29.7.2016,22,8,36,4,44
5.8.2016,11,12,40,5,30
12.8.2016,15,6,38,21,18
19.8.2016,46,22,33,43,42
26.8.2016,9,33,4,8,43
2.9.2016,30,28,15,50,42
9.9.2016,11,27,35,34,39
16.9.2016,28,30,15,37,43
23.9.2016,1,45,7,25,23
30.9.2016,39,4,44,29,28
7.10.2016,1,43,20,44,10
14.10.2016,42,10,25,7,39
21.10.2016,28,35,14,16,34
28.10.2016,12,4,6,13,1
4.11.2016,15,16,50,22,14
11.11.2016,42,18,47,16,1
18.11.2016,16,7,40,10,32
25.11.2016,19,45,49,34,28
2.12.2016,39,48,1,20,50
9.12.2016,29,17,44,12,50
16.12.2016,2,34,25,24,3
23.12.2016,46,13,27,42,30
30.12.2016,27,30,50,47,45
6.1.2017,14,27,7,23,35
13.1.2017,45,2,26,44,21
20.1.2017,40,23,5,25,35
27.1.2017,15,12,29,19,48
3.2.2017,39,47,5,17,4
10.2.2017,13,23,44,31,42
17.2.2017,40,49,19,7,18
24.2.2017,13,19,7,20,1
3.3.2017,7,3,16,18,25
10.3.2017,18,20,35,13,46
17.3.2017,38,25,3,45,16
24.3.2017,25,30,44,36,26
31.3.2017,44,14,8,40,34
7.4.2017,46,45,27,43,10
14.4.2017,49,6,46,22,33
21.4.2017,49,44,27,31,46
28.4.2017,3,38,45,39,41
5.5.2017,41,11,42,23,8
12.5.2017,31,14,7,46,35
19.5.2017,41,33,22,50,46
26.5.2017,11,13,3,23,15
2.6.2017,4,17,46,2,20
9.6.2017,13,24,47,17,20
16.6.2017,31,24,38,1,25
23.6.2017,6,14,27,35,19
30.6.2017,11,31,1,3,18
7.7.2017,15,17,30,16,23
14.7.2017,49,3,9,25,31
21.7.2017,27,36,38,35,48
28.7.2017,40,45,26,14,18
4.8.2017,39,44,46,47,18
11.8.2017,40,21,13,23,14
18.8.2017,32,4,20,34,1
25.8.2017,28,20,45,41,11
1.9.2017,19,3,9,4,28
8.9.2017,40,48,42,38,11
15.9.2017,47,33,15,22,29
22.9.2017,17,47,36,32,10
29.9.2017,15,12,2,44,29
6.10.2017,28,44,40,17,5
13.10.2017,9,44,46,40,43
20.10.2017,10,25,46,1,49
27.10.2017,23,29,50,2,20
3.11.2017,35,2,45,50,44
10.11.2017,14,17,1,50,24
17.11.2017,4,3,41,47,17
24.11.2017,11,22,43,18,16
1.12.2017,5,29,20,16,30
8.12.2017,9,20,24,34,15
15.12.2017,18,12,16,7,1
22.12.2017,32,16,40,26,47
29.12.2017,16,43,40,33,30
